sentence1,sentence2,condition,label
A child stoops to the sidewalk to pick up his toy phone .,A young Indian child holds a doll along a fence .,The type of toy.,1
A man in a brown hat and beige shirt is sitting on a rock by the ocean .,two people are sitting on a rock looking at the horizon .,The activity.,4
A man in a brown hat and beige shirt is sitting on a rock by the ocean .,two people are sitting on a rock looking at the horizon .,The number of people.,1
The tan colored dog has a yellow toy in its mouth .,Brown dog with mouth open and ears in air running .,The number of animals.,5
The tan colored dog has a yellow toy in its mouth .,Brown dog with mouth open and ears in air running .,The color of the animals.,5
Little by and little girl wearing martial arts gown with yellow belts .,A female martial artist is fighting while others watch .,The number of martial artists.,5
Little by and little girl wearing martial arts gown with yellow belts .,A female martial artist is fighting while others watch .,The sport.,4
a skateboarder in a green shirt is taking a jump of a step in front of a pink building .,A guy is riding a skateboard and jumping over a red obstacle .,The person's hobby.,5
a skateboarder in a green shirt is taking a jump of a step in front of a pink building .,A guy is riding a skateboard and jumping over a red obstacle .,The object travelled over.,4
Child is splashing around in a green and blue pool .,A little boy in glasses jumps into a spray of water .,The person's age.,5
Child is splashing around in a green and blue pool .,A little boy in glasses jumps into a spray of water .,The person's eyewear.,2
Large brown dog runs through a large grassy area .,A larger brown dog is chasing a smaller gray dog on the grass .,The way of activity.,4
Large brown dog runs through a large grassy area .,A larger brown dog is chasing a smaller gray dog on the grass .,The large brown dog.,3
"Two black dogs , a black puppy , and a white dog in the snow .",A big brown dog chases a smaller white dog around in the grass .,The type of animals.,3
"Two black dogs , a black puppy , and a white dog in the snow .",A big brown dog chases a smaller white dog around in the grass .,The type of terrain.,1
A little boy is in a floating pool toy and is staring into the water .,"Boy in shorts , face down in shallow , reflective water .",The age of the person.,5
A little boy is in a floating pool toy and is staring into the water .,"Boy in shorts , face down in shallow , reflective water .",The person's position.,4
a man in a green kayak paddles down some rapids in front of a waterfall,A person paddles an orange kayak down a series of rocky waterfalls .,Object type being ridden.,5
a man in a green kayak paddles down some rapids in front of a waterfall,A person paddles an orange kayak down a series of rocky waterfalls .,Color of object ridden.,3
"Woman and child walking on a path covered in leaves , while two people on horses come towards them .","A man and a much younger boy , both wearing hats , taking a stroll through nature .",Speed of people.,4
"Woman and child walking on a path covered in leaves , while two people on horses come towards them .","A man and a much younger boy , both wearing hats , taking a stroll through nature .",Gender of adult.,1
A boy and a girl in bathing suits are touching each other .,A group of young kids play in the water on a sunny day .,The ages of the people.,3
A boy and a girl in bathing suits are touching each other .,A group of young kids play in the water on a sunny day .,The movement of the kids.,2
A person dressed in black skiing down a snow covered hill .,A snowboarder uses a well worn path in the woods .,The season.,3
A person dressed in black skiing down a snow covered hill .,A snowboarder uses a well worn path in the woods .,The sport.,2
A broad shot of a soccer field with players in game,A lone soccer player being spectated by many out on the field .,The sport.,5
A broad shot of a soccer field with players in game,A lone soccer player being spectated by many out on the field .,The number of players.,3
Dogs wearing numbered jerseys running at a track .,Greyhound running on track with blue vest with a white numeral two .,The type of animal.,2
Dogs wearing numbered jerseys running at a track .,Greyhound running on track with blue vest with a white numeral two .,The number of animals.,2
A man in aerodynamic gear riding a professional mountain bike through a forest .,A mountain biker wearing a colorful helmet rides downhill .,The type of ride.,5
A man in aerodynamic gear riding a professional mountain bike through a forest .,A mountain biker wearing a colorful helmet rides downhill .,The type of direction.,3
Many people on a roller coaster ride are flipped upside down over a white track .,People are riding the Cyclone thrill ride at the Coney Island amusement park .,The people's spatial orientation.,2
Many people on a roller coaster ride are flipped upside down over a white track .,People are riding the Cyclone thrill ride at the Coney Island amusement park .,The people's attitudes.,1
A male weimaraner with a clipped tail is walking through a river .,A white dog treads the water with sticks in its mouth .,What the dog is walking through.,4
A male weimaraner with a clipped tail is walking through a river .,A white dog treads the water with sticks in its mouth .,What's in dog's mouth.,3
Three football players turn as a crowd wearing red watches .,The fans at a football game cheer while the player runs towards the endzone .,The game.,5
Three football players turn as a crowd wearing red watches .,The fans at a football game cheer while the player runs towards the endzone .,The speed of the players.,5
